timestamp,ticker,side,exec_price,qty,price_at_trade,ema5,ema20,rsi,confidence
2026-04-30T03:24:01.054942,KRW-SOL,BUY,123122,132.33999001457087,123800.0,123821.947723,123817.084838,50.0,0.250098
2026-05-01T21:37:00.629148,KRW-BTC,SELL,115684200,0.1447959350083572,115853000.0,115854136.153031,115769505.737794,69.250646,0.444333
2026-05-01T21:52:01.428265,KRW-BTC,BUY,115813697,0.1410722148519273,115904000.0,115898375.784194,115872437.16593,68.604651,0.436606
2026-05-01T22:14:01.057592,KRW-ETH,SELL,3423573,5.389591824030025,3406000.0,3405112.43382,3403268.075895,77.777778,0.529132
2026-05-01T22:29:01.186341,KRW-ETH,BUY,3424420,4.832265663458773,3406000.0,3406961.66781,3406473.923238,53.333333,0.283691
2026-05-01T22:54:00.958486,KRW-SOL,SELL,125474,132.33999001457087,124100.0,124111.986927,124218.491168,37.5,0.372854
2026-05-01T23:10:00.957466,KRW-SOL,BUY,125425,131.96549060388884,124300.0,124296.861991,124277.902957,50.0,0.250381
2026-05-02T05:42:01.239783,KRW-SOL,SELL,123975,131.96549060388884,124400.0,124366.36635,124316.213224,75.0,0.501008
2026-05-02T05:54:00.453007,KRW-ETH,SELL,3383613,4.832265663458773,3418000.0,3416878.131766,3416328.741745,75.0,0.500402
2026-05-02T05:58:01.376879,KRW-SOL,BUY,123823,146.70271296071274,124400.0,124402.087102,124367.767732,55.555556,0.306245
2026-05-02T06:09:01.107959,KRW-ETH,BUY,3396392,4.813293745250955,3420000.0,3419097.672521,3417600.889809,60.0,0.351094
2026-05-05T22:37:50.478480,KRW-BTC,SELL,120352527,0.1410722148519273,120120000.0,120253349.682753,120311043.874563,32.392027,0.424879
2026-05-05T22:37:50.523916,KRW-ETH,SELL,3532464,4.813293745250955,3511000.0,3519106.482138,3523687.672068,26.666667,0.480071
2026-05-05T22:37:51.594048,KRW-LINEA,BUY,5,3400482.122435164,5.28,5.295674,5.311178,30.0,0.442659
2026-05-05T22:37:51.630946,KRW-TOKAMAK,BUY,798,20401.759240570173,795.0,795.22285,796.373114,28.571429,0.460669
2026-05-05T22:53:10.826689,KRW-BTC,BUY,120749628,0.12146108693915891,120101000.0,120247016.349419,120309234.350753,31.400966,0.434695
2026-05-05T22:53:11.873372,KRW-ETH,BUY,3544540,3.7237571093681443,3512000.0,3519439.815471,3523782.910163,27.586207,0.471046
2026-05-05T23:22:01.217149,KRW-ETH,SELL,3505491,3.7237571093681443,3513000.0,3519773.148805,3523878.148258,28.571429,0.461364
2026-05-05T23:26:14.649784,KRW-SOL,SELL,126373,146.70271296071274,126200.0,126385.989138,126498.186684,30.0,0.447777
2026-05-05T23:37:01.370571,KRW-ETH,BUY,3530526,4.258900274439191,3513000.0,3519773.148805,3523878.148258,28.571429,0.461364
